	AP1	AP2	AP3	AP4	AP5	Coordenada X	Coordenada Y	id
0	-45	-64	-59	-73	-51	1.47	19.44	1
1	-42	-69	-62	-78	-59	2.48	19.54	2
2	-56	-71	-61	-85	-61	3.44	19.54	3
3	-54	-72	-63	-77	-60	4.48	19.54	4
4	-58	-69	-64	-81	-63	5.44	19.54	5
5	-63	-70	-62	-76	-65	6.41	19.54	6
6	-61	-74	-58	-75	-59	7.41	19.63	7
7	-59	-66	-65	-80	-57	8.5	19.54	8
8	-59	-68	-60	-77	-55	9.42	19.63	9
9	-65	-69	-62	-80	-65	10.42	19.58	10
10	-61	-64	-67	-76	-61	11.46	19.54	11
11	-63	-60	-53	-75	-63	12.42	19.58	12
12	-66	-65	-54	-75	-64	13.51	19.44	13
13	-70	-64	-55	-80	-60	14.43	19.54	14
14	-69	-58	-56	-85	-63	15.48	19.58	15
15	-73	-65	-52	-80	-62	16.48	19.54	16
16	-68	-49	-52	-81	-57	17.4	19.58	17
17	-72	-43	-55	-76	-54	18.4	19.49	18
18	-69	-39	-57	-84	-59	19.45	19.54	19
19	-72	-44	-64	-85	-60	20.45	19.58	20
20	-70	-35	-56	-82	-63	20.41	18.53	21
21	-72	-43	-59	-83	-67	19.45	18.58	22
22	-72	-45	-55	-79	-65	18.44	18.58	23
23	-74	-47	-54	-73	-64	17.4	18.58	24
24	-71	-51	-52	-76	-63	16.48	18.58	25
25	-67	-50	-54	-72	-59	15.43	18.58	26
26	-69	-56	-63	-80	-66	14.47	18.48	27
27	-65	-59	-59	-79	-60	13.43	18.58	28
28	-67	-64	-66	-83	-65	12.38	18.58	29
29	-67	-64	-61	-76	-59	11.46	18.63	30
30	-65	-65	-63	-76	-66	10.46	18.58	31
31	-62	-64	-67	-79	-59	9.5	18.58	32
32	-54	-67	-59	-74	-52	8.54	18.58	33
33	-53	-67	-66	-81	-57	7.45	18.63	34
34	-61	-59	-56	-80	-57	6.45	18.53	35
35	-61	-72	-63	-75	-61	5.49	18.53	36
36	-50	-72	-58	-75	-58	4.52	18.58	37
37	-52	-71	-65	-81	-64	3.48	18.58	38
38	-49	-65	-66	-83	-64	2.48	18.53	39
39	-44	-65	-58	-75	-53	1.43	18.53	40
40	-38	-65	-68	-77	-55	1.43	17.48	41
41	-45	-68	-65	-75	-54	2.48	17.53	42
42	-53	-69	-67	-76	-62	3.4	17.62	43
43	-49	-60	-69	-73	-63	4.48	17.53	44
44	-51	-67	-68	-82	-60	5.44	17.53	45
45	-63	-63	-67	-78	-61	6.49	17.57	46
46	-64	-66	-58	-80	-55	7.49	17.62	47
47	-59	-70	-66	-75	-58	8.5	17.62	48
48	-71	-63	-68	-74	-59	9.46	17.53	49
49	-58	-65	-65	-76	-66	10.5	17.57	50
50	-61	-66	-65	-77	-63	11.46	17.57	51
51	-70	-60	-65	-75	-66	12.47	17.48	52
52	-66	-68	-66	-84	-65	13.47	17.57	53
53	-72	-55	-58	-75	-63	14.47	17.62	54
54	-71	-62	-64	-84	-61	15.43	17.57	55
55	-70	-63	-57	-83	-66	16.48	17.62	56
56	-72	-50	-59	-81	-68	17.4	17.62	57
57	-70	-48	-47	-81	-59	18.4	17.62	58
58	-68	-44	-57	-86	-68	19.45	17.62	59
59	-70	-45	-59	-80	-63	20.45	17.57	60
60	-69	-48	-73	-78	-67	20.36	16.71	61
61	-67	-44	-57	-81	-64	19.39	16.71	62
62	-64	-51	-55	-82	-66	18.41	16.71	63
63	-69	-47	-60	-79	-62	17.39	16.71	64
64	-73	-44	-55	-78	-66	16.41	16.71	65
65	-62	-59	-58	-76	-62	15.4	16.66	66
66	-72	-47	-64	-74	-71	14.42	16.57	67
67	-67	-56	-50	-73	-66	13.44	16.66	68
68	-57	-61	-56	-79	-55	12.38	16.71	69
69	-67	-58	-62	-71	-60	11.41	16.61	70
70	-66	-54	-55	-70	-53	10.39	16.61	71
71	-57	-50	-58	-76	-55	9.37	16.66	72
72	-59	-61	-56	-72	-59	8.48	16.61	73
73	-66	-63	-66	-74	-64	7.41	16.61	74
74	-55	-54	-66	-72	-59	6.4	16.57	75
75	-60	-61	-64	-80	-66	5.42	16.61	76
76	-53	-57	-64	-74	-59	4.44	16.71	77
77	-60	-72	-73	-83	-60	3.38	16.61	78
78	-46	-63	-64	-71	-57	2.45	16.61	79
79	-43	-60	-70	-80	-65	1.47	16.57	80
80	-38	-61	-65	-79	-55	1.39	15.45	81
81	-54	-63	-66	-74	-60	2.45	15.54	82
82	-58	-63	-70	-79	-64	3.47	15.59	83
83	-62	-63	-71	-75	-60	4.48	15.59	84
84	-53	-61	-68	-75	-57	5.42	15.59	85
85	-63	-60	-68	-82	-59	6.4	15.59	86
86	-55	-63	-66	-70	-59	7.46	15.54	87
87	-58	-62	-64	-71	-61	8.35	15.59	88
88	-65	-64	-63	-76	-51	9.37	15.59	89
89	-63	-64	-64	-79	-55	10.43	15.59	90
90	-63	-52	-60	-69	-57	11.49	15.59	91
91	-64	-60	-57	-77	-61	12.42	15.59	92
92	-61	-55	-52	-69	-63	13.44	15.54	93
93	-66	-57	-57	-83	-67	14.38	15.54	94
94	-64	-55	-61	-79	-61	15.4	15.54	95
95	-64	-50	-52	-78	-66	16.37	15.68	96
96	-68	-48	-53	-83	-66	17.35	15.63	97
97	-70	-49	-58	-80	-63	18.37	15.54	98
98	-67	-49	-63	-74	-67	19.39	15.73	99
99	-72	-50	-54	-75	-71	20.36	15.63	100
100	-74	-51	-58	-84	-73	20.41	14.56	101
101	-76	-50	-54	-74	-69	19.43	14.56	102
102	-72	-51	-56	-75	-66	18.37	14.61	103
103	-71	-51	-61	-74	-73	17.39	14.61	104
104	-66	-54	-51	-80	-65	16.37	14.65	105
105	-67	-54	-53	-72	-60	15.4	14.65	106
106	-71	-54	-55	-75	-64	14.38	14.61	107
107	-63	-59	-49	-73	-67	13.44	14.65	108
108	-60	-61	-60	-77	-63	12.38	14.7	109
109	-63	-63	-63	-73	-55	11.41	14.56	110
110	-64	-58	-57	-75	-60	10.43	14.51	111
111	-70	-52	-66	-70	-67	9.37	14.61	112
112	-52	-59	-65	-70	-52	8.43	14.61	113
113	-57	-52	-65	-69	-54	7.5	14.51	114
114	-60	-62	-70	-78	-55	6.35	14.61	115
115	-57	-60	-67	-70	-52	5.46	14.61	116
116	-55	-58	-66	-72	-59	4.44	14.61	117
117	-52	-58	-66	-74	-64	3.42	14.61	118
118	-57	-67	-75	-84	-60	2.45	14.51	119
119	-47	-59	-69	-79	-59	1.39	14.51	120
120	-54	-65	-72	-80	-61	1.39	13.58	121
121	-47	-57	-67	-82	-58	2.4	13.58	122
122	-58	-62	-67	-75	-58	3.42	13.58	123
123	-59	-67	-69	-76	-59	4.44	13.63	124
124	-56	-59	-67	-75	-54	5.42	13.63	125
125	-58	-60	-68	-68	-59	6.4	13.58	126
126	-59	-62	-64	-71	-67	7.41	13.63	127
127	-59	-56	-65	-73	-59	8.43	13.58	128
128	-63	-59	-68	-72	-56	9.41	13.63	129
129	-63	-58	-63	-72	-60	10.39	13.63	130
130	-66	-63	-61	-79	-66	11.41	13.63	131
131	-71	-65	-63	-74	-69	12.42	13.67	132
132	-68	-61	-53	-72	-66	13.44	13.67	133
133	-63	-63	-54	-74	-62	14.42	13.63	134
134	-71	-60	-51	-77	-65	15.4	13.63	135
135	-70	-55	-50	-79	-69	16.46	13.63	136
136	-75	-55	-57	-81	-71	17.39	13.58	137
137	-74	-59	-54	-84	-69	18.33	13.63	138
138	-70	-54	-56	-79	-66	19.47	13.63	139
139	-74	-57	-63	-80	-67	20.36	13.58	140
140	-76	-59	-65	-76	-72	20.41	12.64	141
141	-75	-63	-59	-83	-74	19.43	12.55	142
142	-75	-54	-55	-80	-75	18.41	12.6	143
143	-71	-59	-51	-78	-71	17.39	12.6	144
144	-77	-61	-52	-79	-69	16.5	12.55	145
145	-74	-56	-47	-77	-66	15.35	12.55	146
146	-70	-63	-55	-78	-74	14.38	12.6	147
147	-77	-62	-54	-72	-69	13.44	12.55	148
148	-65	-56	-65	-73	-68	12.38	12.5	149
149	-66	-65	-60	-73	-65	11.45	12.55	150
150	-64	-69	-60	-71	-64	10.39	12.5	151
151	-64	-60	-58	-71	-63	9.41	12.6	152
152	-54	-61	-66	-73	-55	8.43	12.6	153
153	-56	-57	-59	-66	-52	7.37	12.64	154
154	-63	-62	-72	-75	-57	6.44	12.64	155
155	-59	-61	-70	-75	-59	5.42	12.69	156
156	-55	-65	-75	-78	-63	4.44	12.69	157
157	-54	-59	-73	-79	-60	3.47	12.6	158
158	-47	-59	-73	-77	-64	2.4	12.6	159
159	-52	-58	-70	-76	-67	1.43	12.55	160
160	-57	-57	-67	-66	-54	6.52	11.43	161
161	-52	-54	-66	-61	-54	7.41	11.57	162
162	-67	-60	-69	-69	-56	8.39	11.48	163
163	-69	-69	-73	-70	-61	9.37	11.57	164
164	-67	-64	-60	-66	-65	10.39	11.62	165
165	-64	-55	-58	-68	-63	11.36	11.48	166
166	-60	-51	-51	-69	-64	12.3	11.52	167
167	-63	-56	-53	-66	-66	13.4	11.57	168
168	-70	-58	-47	-73	-72	14.46	11.52	169
169	-65	-56	-50	-76	-73	15.44	11.48	170
170	-74	-51	-48	-75	-73	16.41	11.43	171
171	-73	-52	-45	-71	-64	17.43	11.52	172
172	-79	-65	-54	-85	-69	18.41	11.52	173
173	-76	-51	-52	-77	-67	19.39	11.43	174
